tic,time,open,high,low,close,volume,day
688365.SH,2022-07-12,9.03,9.12,8.77,8.77,17877.46,1
002193.SZ,2022-07-13,6.17,6.34,6.17,6.25,32368.12,2
002633.SZ,2022-07-13,9.43,9.73,9.2,9.6,28581.01,2
600243.SH,2022-07-13,4.42,4.53,4.28,4.44,226693.98,2
603825.SH,2022-07-13,16.88,17.14,16.85,16.96,30811.0,2
688365.SH,2022-07-13,8.85,8.95,8.75,8.87,11039.68,2
002193.SZ,2022-07-14,6.29,6.29,6.17,6.19,29015.0,3
002633.SZ,2022-07-14,9.48,9.71,9.4,9.64,26480.0,3
600243.SH,2022-07-14,4.42,4.55,4.35,4.46,193899.6,3
603825.SH,2022-07-14,16.96,17.11,16.77,16.87,36856.0,3
688365.SH,2022-07-14,9.01,9.26,8.8,9.11,18945.77,3
002193.SZ,2022-07-15,6.42,6.6,6.18,6.21,79708.96,4
002633.SZ,2022-07-15,9.56,9.65,9.41,9.5,25338.0,4
600243.SH,2022-07-15,4.35,4.39,4.1,4.11,156761.71,4
603825.SH,2022-07-15,16.9,16.9,16.0,16.08,73948.46,4
688365.SH,2022-07-15,9.11,9.22,8.9,8.98,15754.88,4
002193.SZ,2022-07-18,6.3,6.83,6.26,6.83,71768.15,0
002633.SZ,2022-07-18,9.44,9.96,9.44,9.92,36985.32,0
600243.SH,2022-07-18,4.11,4.27,4.06,4.24,161027.71,0
603825.SH,2022-07-18,16.02,16.64,15.93,16.5,55445.67,0
688365.SH,2022-07-18,9.12,9.34,8.96,9.3,15915.9,0
002193.SZ,2022-07-19,6.84,7.1,6.66,6.67,164848.57,1
002633.SZ,2022-07-19,9.92,10.06,9.77,10.04,27130.02,1
600243.SH,2022-07-19,4.24,4.44,4.23,4.42,198228.38,1
603825.SH,2022-07-19,16.5,16.86,16.45,16.82,43683.15,1
688365.SH,2022-07-19,9.48,9.55,9.2,9.5,22357.85,1
002193.SZ,2022-07-20,6.72,6.78,6.56,6.74,90520.1,2
002633.SZ,2022-07-20,9.99,10.31,9.92,10.28,27715.0,2
600243.SH,2022-07-20,4.54,4.86,4.49,4.86,300184.1,2
603825.SH,2022-07-20,16.94,17.09,16.77,16.99,35687.88,2
688365.SH,2022-07-20,9.45,9.55,9.36,9.46,17474.48,2
002193.SZ,2022-07-21,6.74,6.75,6.58,6.58,55424.0,3
002633.SZ,2022-07-21,10.31,10.54,10.13,10.36,27431.0,3
600243.SH,2022-07-21,4.86,5.03,4.63,4.67,697432.1,3
603825.SH,2022-07-21,16.96,17.65,16.86,17.42,96836.95,3
688365.SH,2022-07-21,9.4,9.76,9.4,9.67,30995.94,3
002193.SZ,2022-07-22,6.62,6.68,6.56,6.63,41136.0,4
002633.SZ,2022-07-22,10.36,10.5,10.21,10.31,19125.41,4
600243.SH,2022-07-22,4.68,4.9,4.67,4.73,480336.72,4
603825.SH,2022-07-22,17.21,17.21,16.43,16.68,54253.16,4
688365.SH,2022-07-22,9.68,9.81,9.54,9.65,22412.6,4
002193.SZ,2022-07-25,6.61,6.65,6.4,6.61,31281.01,0
002633.SZ,2022-07-25,10.33,11.34,10.18,11.34,60312.0,0
600243.SH,2022-07-25,4.65,4.74,4.57,4.58,248279.0,0
603825.SH,2022-07-25,16.81,17.05,16.52,16.89,33359.72,0
688365.SH,2022-07-25,9.63,9.7,9.26,9.35,20033.09,0
002193.SZ,2022-07-26,6.63,6.66,6.4,6.62,29115.0,1
002633.SZ,2022-07-26,12.1,12.47,10.8,10.85,230318.44,1
600243.SH,2022-07-26,4.62,4.72,4.54,4.69,211589.91,1
603825.SH,2022-07-26,16.87,17.77,16.8,17.33,78927.51,1
688365.SH,2022-07-26,9.26,9.45,9.23,9.37,13218.09,1
002193.SZ,2022-07-27,6.59,6.73,6.54,6.71,35627.01,2
002633.SZ,2022-07-27,10.51,11.0,10.31,11.0,179197.78,2
600243.SH,2022-07-27,4.68,4.82,4.64,4.79,270267.19,2
603825.SH,2022-07-27,17.3,17.3,16.9,17.09,42024.87,2
688365.SH,2022-07-27,9.47,9.51,9.29,9.48,10823.31,2
002193.SZ,2022-07-28,6.73,6.78,6.63,6.66,35215.0,3
002633.SZ,2022-07-28,10.7,10.75,10.53,10.61,118879.27,3
600243.SH,2022-07-28,4.77,4.9,4.74,4.79,255068.45,3
603825.SH,2022-07-28,17.09,17.2,16.95,17.03,42076.1,3
688365.SH,2022-07-28,9.62,9.72,9.51,9.62,18719.4,3
002193.SZ,2022-07-29,6.67,6.84,6.64,6.72,52652.54,4
002633.SZ,2022-07-29,10.7,11.11,10.24,10.3,96540.0,4
600243.SH,2022-07-29,4.87,4.98,4.75,4.76,201686.86,4
603825.SH,2022-07-29,17.09,17.11,16.71,16.72,34306.0,4
688365.SH,2022-07-29,9.75,9.75,9.43,9.44,13274.39,4
